rm_block_id,rm_block_name,active
1,data_ingestion_get_pi_data,1
2,data_enrichment_pi_tag_imputation,1
3,data_enrichment_inferred_calculation,1
4,data_enrichment_inferred_imputation,1
5,data_validation_model_skip_check,1
6,data_transformation_domain_filter,1
7,data_transformation_missing_filter,1
8,data_transformation_moving_average_filter,1
9,optimizer_model_preprocessing,1
10,optimizer_model_main,1
11,optimizer_model_inferred_calculation,1
12,post_optimizer_inferred_calculation,1
13,post_optimizer_iterative_calculation,1
14,pre_optimizer_iterative_inferred,1
15,post_optimizer_iterative_inferred,1
16,data_ingestion_seu_seec_inferred_calc,1
17,data_enrichment_peeo_adjusted_inferred,1
18,whatif_inferred,1
19,data_ingestion_seu_seec_inferred_peeo_calc,1
