seu_id,seu_name,case_plant_id,baseline_duty_expression,actual_duty_expression,target_duty_expression,active,seu_category,energy_source,seu_display_name,benefit_factor,enpi_expression,gain_expression,baseline_duty_expression_gjph,actual_duty_expression_gjph,target_duty_expression_gjph
60,KM-2115,4,0.024856*[KM_2115_Status_actual],[KM_2115_Status_actual] * [Sp_En_KM_2115_actual],"if(([KM_2115_Status_optimum] * [Sp_En_KM_2115_optimum]-[KM_2115_Status_actual] * [Sp_En_KM_2115_actual])>0.02,[KM_2115_Status_actual] * [Sp_En_KM_2115_actual],[KM_2115_Status_optimum] * [Sp_En_KM_2115_optimum])",1,Compressor,Electricity,EG1 Recycle gas compressor,[Power_Rate_actual],"if( ([KM_2115_Status_actual] * [Sp_En_KM_2115_actual])== (if(([KM_2115_Status_optimum] * [Sp_En_KM_2115_optimum])>([KM_2115_Status_actual] * [Sp_En_KM_2115_actual]),[KM_2115_Status_actual] * [Sp_En_KM_2115_actual],[KM_2115_Status_optimum] * [Sp_En_KM_2115_optimum])),0,(if((([KM_2115_Status_actual] * [Sp_En_KM_2115_actual]*[KM_2115_Flow_actual])-([KM_2115_Status_optimum] * [Sp_En_KM_2115_optimum]*[KM_2115_Flow_optimum]))<0,0,([KM_2115_Status_actual] * [Sp_En_KM_2115_actual]*[KM_2115_Flow_actual])-([KM_2115_Status_optimum] * [Sp_En_KM_2115_optimum]*[KM_2115_Flow_optimum]))))",(0.024856*[KM_2115_Status_actual]*[KM_2115_Flow_actual])-([KM_2115_Status_actual] * [Sp_En_KM_2115_actual]*[KM_2115_Flow_actual]),0.024856*[KM_2115_Status_actual]*[KM_2115_Flow_actual],[KM_2115_Status_actual] * [Sp_En_KM_2115_actual]*[KM_2115_Flow_actual],"if([KM_2115_Status_optimum] * [Sp_En_KM_2115_optimum]*[KM_2115_Flow_optimum]>[KM_2115_Status_actual] * [Sp_En_KM_2115_actual]*[KM_2115_Flow_actual],[KM_2115_Status_actual] * [Sp_En_KM_2115_actual]*[KM_2115_Flow_actual],[KM_2115_Status_optimum] * [Sp_En_KM_2115_optimum]*[KM_2115_Flow_optimum])"
61,E-2523,4,0.686682*[E_2523_Status_actual],[E_2523_Status_actual] * [Sp_En_E_2523_actual],"if((([E_2523_Status_optimum] * [Sp_En_E_2523_optimum]-[E_2523_Status_actual] * [Sp_En_E_2523_actual])>0.02)||([EG1_LP_to_E_2523_actual]==[EG1_LP_to_E_2523_optimum]),[E_2523_Status_actual] * [Sp_En_E_2523_actual],[E_2523_Status_optimum] * [Sp_En_E_2523_optimum])",1,Exchanger,Steam,EG1 Third Stage Reactor Feed Heater,([LP_Steam_Cost_actual] / ([LP_steam_saturated_vapor_enthalpy_actual] - [LP_steam_condensate_enthalpy_actual])) * 1000,"if(([E_2523_Status_actual] * [Sp_En_E_2523_actual])==(if((([E_2523_Status_optimum] * [Sp_En_E_2523_optimum])>([E_2523_Status_actual] * [Sp_En_E_2523_actual]))||([EG1_LP_to_E_2523_actual]==[EG1_LP_to_E_2523_optimum]),[E_2523_Status_actual] * [Sp_En_E_2523_actual],[E_2523_Status_optimum] * [Sp_En_E_2523_optimum])),0,(if((([E_2523_Status_actual] * [Sp_En_E_2523_actual]*[Process_flow_of_E_2523_actual])-([E_2523_Status_optimum] * [Sp_En_E_2523_optimum]*[Process_flow_of_E_2523_actual]))<0,0,([E_2523_Status_actual] * [Sp_En_E_2523_actual]*[Process_flow_of_E_2523_actual])-([E_2523_Status_optimum] * [Sp_En_E_2523_optimum]*[Process_flow_of_E_2523_actual]))))",(0.686682*[E_2523_Status_actual]*[Process_flow_of_E_2523_actual])-([E_2523_Status_actual] * [Sp_En_E_2523_actual]*[Process_flow_of_E_2523_actual]),0.686682*[E_2523_Status_actual]*[Process_flow_of_E_2523_actual],[E_2523_Status_actual] * [Sp_En_E_2523_actual]*[Process_flow_of_E_2523_actual],"if([E_2523_Status_optimum] * [Sp_En_E_2523_optimum]*[Process_flow_of_E_2523_actual]>[E_2523_Status_actual] * [Sp_En_E_2523_actual]*[Process_flow_of_E_2523_actual],[E_2523_Status_actual] * [Sp_En_E_2523_actual]*[Process_flow_of_E_2523_actual],[E_2523_Status_optimum] * [Sp_En_E_2523_optimum]*[Process_flow_of_E_2523_actual])"
62,E-2531,4,2.468993*[E_2531_Status_actual],[E_2531_Status_actual] * [Sp_En_E_2531_actual],"if((([E_2531_Status_optimum] * [Sp_En_E_2531_optimum]-[E_2531_Status_actual] * [Sp_En_E_2531_actual])>0.02)||([EG1_MP_to_E_2531_actual]==[EG1_MP_to_E_2531_optimum]),[E_2531_Status_actual] * [Sp_En_E_2531_actual],[E_2531_Status_optimum] * [Sp_En_E_2531_optimum])",1,Reboiler,Steam,EG1 First Effect Reboiler,([MP_steam_generation_Cost_actual] / ([MP_steam_saturated_vapor_enthalpy_actual] - [MP_steam_condensate_enthalpy_actual])) * 1000,"if(([E_2531_Status_actual] * [Sp_En_E_2531_actual])==(if((([E_2531_Status_optimum] * [Sp_En_E_2531_optimum])>([E_2531_Status_actual] * [Sp_En_E_2531_actual]))||([EG1_MP_to_E_2531_actual]==[EG1_MP_to_E_2531_optimum]),[E_2531_Status_actual] * [Sp_En_E_2531_actual],[E_2531_Status_optimum] * [Sp_En_E_2531_optimum])),0,(if((([E_2531_Status_actual] * [Sp_En_E_2531_actual]*[Process_flow_of_E_2523_actual])-([E_2531_Status_optimum] * [Sp_En_E_2531_optimum]*[Process_flow_of_E_2523_actual]))<0,0,([E_2531_Status_actual] * [Sp_En_E_2531_actual]*[Process_flow_of_E_2523_actual])-([E_2531_Status_optimum] * [Sp_En_E_2531_optimum]*[Process_flow_of_E_2523_actual]))))",(2.468993*[E_2531_Status_actual]*[Process_flow_of_E_2523_actual])-([E_2531_Status_actual] * [Sp_En_E_2531_actual]*[Process_flow_of_E_2523_actual]),2.468993*[E_2531_Status_actual]*[Process_flow_of_E_2523_actual],[E_2531_Status_actual] * [Sp_En_E_2531_actual]*[Process_flow_of_E_2523_actual],"if([E_2531_Status_optimum] * [Sp_En_E_2531_optimum]*[Process_flow_of_E_2523_actual]>[E_2531_Status_actual] * [Sp_En_E_2531_actual]*[Process_flow_of_E_2523_actual],[E_2531_Status_actual] * [Sp_En_E_2531_actual]*[Process_flow_of_E_2523_actual],[E_2531_Status_optimum] * [Sp_En_E_2531_optimum]*[Process_flow_of_E_2523_actual])"
63,E-2610,4,0.46238*[E_2610_Status_actual],[E_2610_Status_actual] * [Sp_En_E_2610_actual],"if((([E_2610_Status_optimum] * [Sp_En_E_2610_optimum]-[E_2610_Status_actual] * [Sp_En_E_2610_actual])>0.02),[E_2610_Status_actual] * [Sp_En_E_2610_actual],[E_2610_Status_optimum] * [Sp_En_E_2610_optimum])",1,Reboiler,Steam,EG1 Drying Column Reboiler,([MP_steam_generation_Cost_actual] / ([MP_steam_saturated_vapor_enthalpy_actual] - [MP_steam_condensate_enthalpy_actual])) * 1000,"if(([E_2610_Status_actual] * [Sp_En_E_2610_actual])==(if(([E_2610_Status_optimum] * [Sp_En_E_2610_optimum])>([E_2610_Status_actual] * [Sp_En_E_2610_actual]),[E_2610_Status_actual] * [Sp_En_E_2610_actual],[E_2610_Status_optimum] * [Sp_En_E_2610_optimum])),0,(if((([E_2610_Status_actual] * [Sp_En_E_2610_actual]*[Process_flow_of_E_2610_actual])-([E_2610_Status_optimum] * [Sp_En_E_2610_optimum]*[Process_flow_of_E_2610_actual]))<0,0,([E_2610_Status_actual] * [Sp_En_E_2610_actual]*[Process_flow_of_E_2610_actual])-([E_2610_Status_optimum] * [Sp_En_E_2610_optimum]*[Process_flow_of_E_2610_actual]))))",(0.46238*[E_2610_Status_actual]*[Process_flow_of_E_2610_actual])-([E_2610_Status_actual] * [Sp_En_E_2610_actual]*[Process_flow_of_E_2610_actual]),0.46238*[E_2610_Status_actual]*[Process_flow_of_E_2610_actual],[E_2610_Status_actual] * [Sp_En_E_2610_actual]*[Process_flow_of_E_2610_actual],"if([E_2610_Status_optimum] * [Sp_En_E_2610_optimum]*[Process_flow_of_E_2610_actual]>[E_2610_Status_actual] * [Sp_En_E_2610_actual]*[Process_flow_of_E_2610_actual],[E_2610_Status_actual] * [Sp_En_E_2610_actual]*[Process_flow_of_E_2610_actual],[E_2610_Status_optimum] * [Sp_En_E_2610_optimum]*[Process_flow_of_E_2610_actual])"
64,E-2620,4,0.124355*[E_2620_Status_actual],[E_2620_Status_actual] * [Sp_En_E_2620_actual],"if(([E_2620_Status_optimum] * [Sp_En_E_2620_optimum]-[E_2620_Status_actual] * [Sp_En_E_2620_actual])>0.02,[E_2620_Status_actual] * [Sp_En_E_2620_actual],[E_2620_Status_optimum] * [Sp_En_E_2620_optimum])",1,Reboiler,Steam,EG1 MEG Column Reboiler,([MP_steam_generation_Cost_actual] / ([MP_steam_saturated_vapor_enthalpy_actual] - [MP_steam_condensate_enthalpy_actual])) * 1000,"if(([E_2620_Status_actual] * [Sp_En_E_2620_actual])==(if(([E_2620_Status_optimum] * [Sp_En_E_2620_optimum])>([E_2620_Status_actual] * [Sp_En_E_2620_actual]),[E_2620_Status_actual] * [Sp_En_E_2620_actual],[E_2620_Status_optimum] * [Sp_En_E_2620_optimum])),0,(if((([E_2620_Status_actual] * [Sp_En_E_2620_actual]*[Process_flow_of_E_2620_actual])-([E_2620_Status_optimum] * [Sp_En_E_2620_optimum]*[Process_flow_of_E_2620_actual]))<0,0,([E_2620_Status_actual] * [Sp_En_E_2620_actual]*[Process_flow_of_E_2620_actual])-([E_2620_Status_optimum] * [Sp_En_E_2620_optimum]*[Process_flow_of_E_2620_actual]))))",(0.124355*[E_2620_Status_actual]*[Process_flow_of_E_2620_actual])-([E_2620_Status_actual] * [Sp_En_E_2620_actual]*[Process_flow_of_E_2620_actual]),0.124355*[E_2620_Status_actual]*[Process_flow_of_E_2620_actual],[E_2620_Status_actual] * [Sp_En_E_2620_actual]*[Process_flow_of_E_2620_actual],"if([E_2620_Status_optimum] * [Sp_En_E_2620_optimum]*[Process_flow_of_E_2620_actual]>[E_2620_Status_actual] * [Sp_En_E_2620_actual]*[Process_flow_of_E_2620_actual],[E_2620_Status_actual] * [Sp_En_E_2620_actual]*[Process_flow_of_E_2620_actual],[E_2620_Status_optimum] * [Sp_En_E_2620_optimum]*[Process_flow_of_E_2620_actual])"
65,KM-4115,1,0.031269*[KM_4115_Status_actual],[KM_4115_Status_actual] * [Sp_En_KM_4115_actual],"if(([KM_4115_Status_optimum] * [Sp_En_KM_4115_optimum]-[KM_4115_Status_actual] * [Sp_En_KM_4115_actual])>0.02,[KM_4115_Status_actual] * [Sp_En_KM_4115_actual],[KM_4115_Status_optimum] * [Sp_En_KM_4115_optimum])",1,Compressor,Electricity,EG2 Recycle gas compressor,[Power_Rate_actual],"if(([KM_4115_Status_actual] * [Sp_En_KM_4115_actual])==(if(([KM_4115_Status_optimum] * [Sp_En_KM_4115_optimum])>([KM_4115_Status_actual] * [Sp_En_KM_4115_actual]),[KM_4115_Status_actual] * [Sp_En_KM_4115_actual],[KM_4115_Status_optimum] * [Sp_En_KM_4115_optimum])),0,(if((([KM_4115_Status_actual] * [Sp_En_KM_4115_actual]*[KM_4115_Flow_actual])-([KM_4115_Status_optimum] * [Sp_En_KM_4115_optimum]*[KM_4115_Flow_optimum]))<0,0,([KM_4115_Status_actual] * [Sp_En_KM_4115_actual]*[KM_4115_Flow_actual])-([KM_4115_Status_optimum] * [Sp_En_KM_4115_optimum]*[KM_4115_Flow_optimum]))))",(0.031269*[KM_4115_Status_actual]*[KM_4115_Flow_actual])-([KM_4115_Status_actual] * [Sp_En_KM_4115_actual]*[KM_4115_Flow_actual]),0.031269*[KM_4115_Status_actual]*[KM_4115_Flow_actual],[KM_4115_Status_actual] * [Sp_En_KM_4115_actual]*[KM_4115_Flow_actual],"if([KM_4115_Status_optimum] * [Sp_En_KM_4115_optimum]*[KM_4115_Flow_optimum]>[KM_4115_Status_actual] * [Sp_En_KM_4115_actual]*[KM_4115_Flow_actual],[KM_4115_Status_actual] * [Sp_En_KM_4115_actual]*[KM_4115_Flow_actual],[KM_4115_Status_optimum] * [Sp_En_KM_4115_optimum]*[KM_4115_Flow_optimum])"
66,E-4523,1,0.751368*[E_4523_Status_actual],[E_4523_Status_actual] * [Sp_En_E_4523_actual],"if((([E_4523_Status_optimum] * [Sp_En_E_4523_optimum]-[E_4523_Status_actual] * [Sp_En_E_4523_actual])>0.02)||([EG2_LP_to_E_4523_actual]==[EG2_LP_to_E_4523_optimum]),[E_4523_Status_actual] * [Sp_En_E_4523_actual],[E_4523_Status_optimum] * [Sp_En_E_4523_optimum])",1,Exchanger,Steam,EG2 Third Stage Reactor Feed Heater,([LP_Steam_Cost_actual] / ([EG2_LP_steam_saturated_vapor_enthalpy_actual] - [EG2_LP_steam_condensate_enthalpy_actual])) * 1000,"if(([E_4523_Status_actual] * [Sp_En_E_4523_actual])==(if((([E_4523_Status_optimum] * [Sp_En_E_4523_optimum])>([E_4523_Status_actual] * [Sp_En_E_4523_actual]))||([EG2_LP_to_E_4523_actual]==[EG2_LP_to_E_4523_optimum]),[E_4523_Status_actual] * [Sp_En_E_4523_actual],[E_4523_Status_optimum] * [Sp_En_E_4523_optimum])),0,(if((([E_4523_Status_actual] * [Sp_En_E_4523_actual]*[Process_flow_of_E_4523_actual])-([E_4523_Status_optimum] * [Sp_En_E_4523_optimum]*[Process_flow_of_E_4523_actual]))<0,0,([E_4523_Status_actual] * [Sp_En_E_4523_actual]*[Process_flow_of_E_4523_actual])-([E_4523_Status_optimum] * [Sp_En_E_4523_optimum]*[Process_flow_of_E_4523_actual]))))",(0.751368*[E_4523_Status_actual]*[Process_flow_of_E_4523_actual])-([E_4523_Status_actual] * [Sp_En_E_4523_actual]*[Process_flow_of_E_4523_actual]),0.751368*[E_4523_Status_actual]*[Process_flow_of_E_4523_actual],[E_4523_Status_actual] * [Sp_En_E_4523_actual]*[Process_flow_of_E_4523_actual],"if([E_4523_Status_optimum] * [Sp_En_E_4523_optimum]*[Process_flow_of_E_4523_actual]>[E_4523_Status_actual] * [Sp_En_E_4523_actual]*[Process_flow_of_E_4523_actual],[E_4523_Status_actual] * [Sp_En_E_4523_actual]*[Process_flow_of_E_4523_actual],[E_4523_Status_optimum] * [Sp_En_E_4523_optimum]*[Process_flow_of_E_4523_actual])"
67,E-4531,1,2.357362*[E_4531_Status_actual],[E_4531_Status_actual] * [Sp_En_E_4531_actual],"if((([E_4531_Status_optimum] * [Sp_En_E_4531_optimum]-[E_4531_Status_actual] * [Sp_En_E_4531_actual])>0.02)||([EG2_MP_to_E_4531_actual]==[EG2_MP_to_E_4531_optimum]),[E_4531_Status_actual] * [Sp_En_E_4531_actual],[E_4531_Status_optimum] * [Sp_En_E_4531_optimum])",1,Reboiler,Steam,EG2 First Effect Reboiler,([MP_steam_generation_Cost_actual] / ([EG2_MP_steam_saturated_vapor_enthalpy_actual] - [EG2_MP_steam_condensate_enthalpy_actual])) * 1000,"if(([E_4531_Status_actual] * [Sp_En_E_4531_actual])==(if((([E_4531_Status_optimum] * [Sp_En_E_4531_optimum])>([E_4531_Status_actual] * [Sp_En_E_4531_actual]))||([EG2_MP_to_E_4531_actual]==[EG2_MP_to_E_4531_optimum]),[E_4531_Status_actual] * [Sp_En_E_4531_actual],[E_4531_Status_optimum] * [Sp_En_E_4531_optimum])),0,(if((([E_4531_Status_actual] * [Sp_En_E_4531_actual]*[Process_flow_of_E_4523_actual])-([E_4531_Status_optimum] * [Sp_En_E_4531_optimum]*[Process_flow_of_E_4523_actual]))<0,0,([E_4531_Status_actual] * [Sp_En_E_4531_actual]*[Process_flow_of_E_4523_actual])-([E_4531_Status_optimum] * [Sp_En_E_4531_optimum]*[Process_flow_of_E_4523_actual]))))",(2.357362*[E_4531_Status_actual]*[Process_flow_of_E_4523_actual])-([E_4531_Status_actual] * [Sp_En_E_4531_actual]*[Process_flow_of_E_4523_actual]),2.357362*[E_4531_Status_actual]*[Process_flow_of_E_4523_actual],[E_4531_Status_actual] * [Sp_En_E_4531_actual]*[Process_flow_of_E_4523_actual],"if([E_4531_Status_optimum] * [Sp_En_E_4531_optimum]*[Process_flow_of_E_4523_actual]>[E_4531_Status_actual] * [Sp_En_E_4531_actual]*[Process_flow_of_E_4523_actual],[E_4531_Status_actual] * [Sp_En_E_4531_actual]*[Process_flow_of_E_4523_actual],[E_4531_Status_optimum] * [Sp_En_E_4531_optimum]*[Process_flow_of_E_4523_actual])"
68,E-4610,1,0.635394*[E_4610_Status_actual],[E_4610_Status_actual] * [Sp_En_E_4610_actual],"if(([E_4610_Status_optimum] * [Sp_En_E_4610_optimum]-[E_4610_Status_actual] * [Sp_En_E_4610_actual])>0.02,[E_4610_Status_actual] * [Sp_En_E_4610_actual],[E_4610_Status_optimum] * [Sp_En_E_4610_optimum])",1,Reboiler,Steam,EG2 Drying Column Reboiler,([MP_steam_generation_Cost_actual] / ([EG2_MP_steam_saturated_vapor_enthalpy_actual] - [EG2_MP_steam_condensate_enthalpy_actual])) * 1000,"if(([E_4610_Status_actual] * [Sp_En_E_4610_actual])==(if(([E_4610_Status_optimum] * [Sp_En_E_4610_optimum])>([E_4610_Status_actual] * [Sp_En_E_4610_actual]),[E_4610_Status_actual] * [Sp_En_E_4610_actual],[E_4610_Status_optimum] * [Sp_En_E_4610_optimum])),0,(if((([E_4610_Status_actual] * [Sp_En_E_4610_actual]*[Process_flow_of_E_4610_actual])-([E_4610_Status_optimum] * [Sp_En_E_4610_optimum]*[Process_flow_of_E_4610_actual]))<0,0,([E_4610_Status_actual] * [Sp_En_E_4610_actual]*[Process_flow_of_E_4610_actual])-([E_4610_Status_optimum] * [Sp_En_E_4610_optimum]*[Process_flow_of_E_4610_actual]))))",(0.635394*[E_4610_Status_actual]*[Process_flow_of_E_4610_actual])-([E_4610_Status_actual] * [Sp_En_E_4610_actual]*[Process_flow_of_E_4610_actual]),0.635394*[E_4610_Status_actual]*[Process_flow_of_E_4610_actual],[E_4610_Status_actual] * [Sp_En_E_4610_actual]*[Process_flow_of_E_4610_actual],"if([E_4610_Status_optimum] * [Sp_En_E_4610_optimum]*[Process_flow_of_E_4610_actual]>[E_4610_Status_actual] * [Sp_En_E_4610_actual]*[Process_flow_of_E_4610_actual],[E_4610_Status_actual] * [Sp_En_E_4610_actual]*[Process_flow_of_E_4610_actual],[E_4610_Status_optimum] * [Sp_En_E_4610_optimum]*[Process_flow_of_E_4610_actual])"
69,E-4620,1,0.132037*[E_4620_Status_actual],[E_4620_Status_actual] * [Sp_En_E_4620_actual],"if(([E_4620_Status_optimum] * [Sp_En_E_4620_optimum]-[E_4620_Status_actual] * [Sp_En_E_4620_actual])>0.02,[E_4620_Status_actual] * [Sp_En_E_4620_actual],[E_4620_Status_optimum] * [Sp_En_E_4620_optimum])",1,Reboiler,Steam,EG2 MEG Column Reboiler,([MP_steam_generation_Cost_actual] / ([EG2_MP_steam_saturated_vapor_enthalpy_actual] - [EG2_MP_steam_condensate_enthalpy_actual])) * 1000,"if(([E_4620_Status_actual] * [Sp_En_E_4620_actual])==(if(([E_4620_Status_optimum] * [Sp_En_E_4620_optimum])>([E_4620_Status_actual] * [Sp_En_E_4620_actual]),[E_4620_Status_actual] * [Sp_En_E_4620_actual],[E_4620_Status_optimum] * [Sp_En_E_4620_optimum])),0,(if((([E_4620_Status_actual] * [Sp_En_E_4620_actual]*[Process_flow_of_E_4620_actual])-([E_4620_Status_optimum] * [Sp_En_E_4620_optimum]*[Process_flow_of_E_4620_actual]))<0,0,([E_4620_Status_actual] * [Sp_En_E_4620_actual]*[Process_flow_of_E_4620_actual])-([E_4620_Status_optimum] * [Sp_En_E_4620_optimum]*[Process_flow_of_E_4620_actual]))))",(0.132037*[E_4620_Status_actual]*[Process_flow_of_E_4620_actual])-([E_4620_Status_actual] * [Sp_En_E_4620_actual]*[Process_flow_of_E_4620_actual]),0.132037*[E_4620_Status_actual]*[Process_flow_of_E_4620_actual],[E_4620_Status_actual] * [Sp_En_E_4620_actual]*[Process_flow_of_E_4620_actual],"if([E_4620_Status_optimum] * [Sp_En_E_4620_optimum]*[Process_flow_of_E_4620_actual]>[E_4620_Status_actual] * [Sp_En_E_4620_actual]*[Process_flow_of_E_4620_actual],[E_4620_Status_actual] * [Sp_En_E_4620_actual]*[Process_flow_of_E_4620_actual],[E_4620_Status_optimum] * [Sp_En_E_4620_optimum]*[Process_flow_of_E_4620_actual])"
