tag_name,category,in_boiler_cats,in_minlp158,status,n_pi_deps,n_covered,n_blocked,blocked_pi_tags
Air_Comp_Flag,Boiler -- Air System,True,False,partially_blocked,14,2,12,AC_A_Flow_To_Header_raw; AC_B_Flow_To_Header_raw; AC_C_Flow_To_Header_raw; AC_D_Flow_To_Header_raw; Air_Compressor_B_Discharge_Pressure; Air_Compressor_C_Discharge_Pressure; Air_Compressor_Turbine_A_RPM; Air_Compressor_Turbine_D_RPM; Air_compressor_A_Discharge_flow_raw; Air_compressor_B_Discharge_flow_raw; Air_compressor_C_Discharge_flow_raw; Air_compressor_D_Discharge_flow_raw
Air_Compressor_Turbine_A_Steam,Steam Turbine,False,True,fully_computable,1,1,0,
Air_Compressor_Turbine_D_Steam,Steam Turbine,False,True,fully_computable,1,1,0,
Air_Imbalance,Boiler -- Air System,True,False,partially_blocked,21,2,19,AC_A_Flow_To_Header_raw; AC_B_Flow_To_Header_raw; AC_C_Flow_To_Header_raw; AC_D_Flow_To_Header_raw; Air_Compressor_B_Discharge_Pressure; Air_Compressor_C_Discharge_Pressure; Air_Compressor_Turbine_A_RPM; Air_Compressor_Turbine_D_RPM; Decoke_check; Instr_air_to_CW_in_m3ph; Instr_air_to_EG1_in_kgph; Instr_air_to_EG2_in_kgph; Instr_air_to_EG3_in_kgph; Instr_air_to_Eth_in_tph; Instr_air_to_LAO_in_kgph; Plant_air_to_EG1_in_kgph; Plant_air_to_EG2_in_kgph; Plant_air_to_EG3_in_kgph; Plant_air_to_LAO_in_kgph
Air_KPI_doller,Boiler -- Air System,True,False,partially_blocked,61,26,35,Air_Compressor_B_Discharge_Pressure; Air_Compressor_C_Discharge_Pressure; Air_Compressor_Motor_B_Amperes; Air_Compressor_Motor_C_Amperes; Air_Compressor_Turbine_A_RPM; Air_Compressor_Turbine_D_RPM; Air_compressor_A_Discharge_flow_raw; Air_compressor_B_Discharge_flow_raw; Air_compressor_C_Discharge_flow_raw; Air_compressor_D_Discharge_flow_raw; Arrazi_Plant_Load; BOILER_A_FLUE_GAS_OXGYGEN; BOILER_B_FLUE_GAS_OXGYGEN; BOILER_C_FLUE_GAS_OXGYGEN; BOILER_D_FLUE_GAS_OXGYGEN; BOILER_E_FLUE_GAS_OXGYGEN; Boielr_B_Fuel_Gas_Flow; Boiler_A_Combustion_Air_Temperature; Boiler_A_Main_Fuel_Gas_Temperature; Boiler_B_Combustion_Air_Temperature; Boiler_B_Main_Fuel_Gas_Temperature; Boiler_C_Combustion_Air_Temperature; Boiler_C_Main_Fuel_Gas_Temperature; Boiler_D_Combustion_Air_Temperature; Boiler_D_Main_Fuel_Gas_Temperature; Boiler_E_Combustion_Air_Temp; Boiler_E_Main_Fuel_Gas_Temperature; Fuel_BLR_1_raw; Fuel_BLR_2_raw; Fuel_BLR_3_raw; Fuel_BLR_4_raw; Fuel_BLR_5_raw; HP_Steam_Enthalpy; LHV; LP_Steam_Enthalpy
Air_cost_factor,Boiler -- Air System,True,False,depends_on_non_pi_refs,0,0,24,Air_Compressor_Motor_B_Power_actual; Air_Compressor_Motor_B_Power_optimum; Air_Compressor_Motor_C_Power_actual; Air_Compressor_Motor_C_Power_optimum; Air_Compressor_Turbine_A_Steam_actual; Air_Compressor_Turbine_A_Steam_optimum; Air_Compressor_Turbine_D_Steam_actual; Air_Compressor_Turbine_D_Steam_optimum; Air_compressor_A_Discharge_flow_actual; Air_compressor_A_Discharge_flow_optimum; Air_compressor_B_Discharge_flow_actual; Air_compressor_B_Discharge_flow_optimum; Air_compressor_C_Discharge_flow_actual; Air_compressor_C_Discharge_flow_optimum; Air_compressor_D_Discharge_flow_actual; Air_compressor_D_Discharge_flow_optimum; HP_Steam_Enthalpy_actual; HP_Steam_Enthalpy_optimum; HP_Steam_enthalpy_Cost_actual; HP_Steam_enthalpy_Cost_optimum; LP_Steam_Enthalpy_actual; LP_Steam_Enthalpy_optimum; Power_Rate_actual; Power_Rate_optimum
Air_cost_from_motors,Boiler -- Air System,True,False,fully_blocked,6,0,6,Air_Compressor_B_Discharge_Pressure; Air_Compressor_C_Discharge_Pressure; Air_Compressor_Motor_B_Amperes; Air_Compressor_Motor_C_Amperes; Air_compressor_B_Discharge_flow_raw; Air_compressor_C_Discharge_flow_raw
Air_cost_target,Boiler -- Air System,True,False,depends_on_non_pi_refs,0,0,2,Air_KPI_doller_actual; Air_cost_factor_actual
Air_density,Boiler -- Air System,True,False,literal_constant,0,0,0,
Air_vent_upper_bound,Boiler -- Air System,True,False,literal_constant,0,0,0,
