action_type,priority,element_path,leaf_element,attribute_name,uom,blocks_minlp_tag,hierarchy_template_for,note
add_new_row,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerB > HP Boiler BFW SystemA > HP Boiler BFW PumpB,HP Boiler BFW PumpB,Discharge Flow,metric_ton/h,VHP_BFW_B_Discharge_flow,HP Boiler BFW PumpA,Mirror of HP Boiler BFW PumpA for boiler B (BLR_2).
add_new_row,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerB > HP Boiler BFW SystemA > HP Boiler BFW PumpB,HP Boiler BFW PumpB,Driver Steam Flow,metric_ton/h,VHP_BFW_B_Turb_Steam_raw,HP Boiler BFW PumpA,Mirror of HP Boiler BFW PumpA for boiler B (BLR_2).
add_new_row,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerB > HP Boiler BFW SystemA > HP Boiler BFW PumpB,HP Boiler BFW PumpB,Motor Current,A,VHP_BFW_B_AMPS,HP Boiler BFW PumpA,Mirror of HP Boiler BFW PumpA for boiler B (BLR_2).
add_new_row,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerC > HP Boiler BFW SystemA > HP Boiler BFW PumpC,HP Boiler BFW PumpC,Discharge Flow,metric_ton/h,VHP_BFW_C_Discharge_flow,HP Boiler BFW PumpA,Mirror of HP Boiler BFW PumpA for boiler C (BLR_3).
add_new_row,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerC > HP Boiler BFW SystemA > HP Boiler BFW PumpC,HP Boiler BFW PumpC,Driver Steam Flow,metric_ton/h,VHP_BFW_C_Turb_Steam_raw,HP Boiler BFW PumpA,Mirror of HP Boiler BFW PumpA for boiler C (BLR_3).
add_new_row,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerC > HP Boiler BFW SystemA > HP Boiler BFW PumpC,HP Boiler BFW PumpC,Motor Current,A,VHP_BFW_C_AMPS,HP Boiler BFW PumpA,Mirror of HP Boiler BFW PumpA for boiler C (BLR_3).
add_new_row,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerD > HP Boiler BFW SystemA > HP Boiler BFW PumpD,HP Boiler BFW PumpD,Discharge Flow,metric_ton/h,VHP_BFW_D_Discharge_flow,HP Boiler BFW PumpA,Mirror of HP Boiler BFW PumpA for boiler D (BLR_4).
add_new_row,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerD > HP Boiler BFW SystemA > HP Boiler BFW PumpD,HP Boiler BFW PumpD,Driver Steam Flow,metric_ton/h,VHP_BFW_D_Turb_Steam_raw,HP Boiler BFW PumpA,Mirror of HP Boiler BFW PumpA for boiler D (BLR_4).
add_new_row,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerD > HP Boiler BFW SystemA > HP Boiler BFW PumpD,HP Boiler BFW PumpD,Motor Current,A,VHP_BFW_D_AMPS,HP Boiler BFW PumpA,Mirror of HP Boiler BFW PumpA for boiler D (BLR_4).
add_new_row,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerE > HP Boiler BFW SystemA > HP Boiler BFW PumpE,HP Boiler BFW PumpE,Discharge Flow,metric_ton/h,VHP_BFW_E_Discharge_flow,HP Boiler BFW PumpA,Mirror of HP Boiler BFW PumpA for boiler E (BLR_5).
